electrode,onset,spread
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
43,1401,1185
44,3248,2980
45,2399,2845
46,2140,2175
47,1304,1326
48,668,693
49,519,570
50,759,925
51,2947,3122
52,3175,3895
53,2263,1899
54,1852,1569
55,57,48
56,43,57
57,26,62
58,1484,1326
59,2213,1799
60,3242,2830
61,3894,4081
62,3877,4264
63,3533,3174
64,2881,2921
65,3760,3399
66,3355,3023
67,2495,2499
68,2969,2814
69,2728,2897
70,739,1122
71,298,562
72,208,270
73,3419,2947
74,4263,3819
75,3162,3192
76,3113,3501
77,1664,2039
78,567,701
79,323,449
80,584,519
81,1924,1599
82,3398,3919
83,2976,3701
84,2611,2827
85,1981,2216
86,1132,1319
87,1263,1299
88,1853,1446
89,3458,2877
90,4425,4033
91,3942,3556
92,2858,3082
93,2340,2069
94,1741,1591
95,2854,2115
96,3165,3804
97,3860,3414
98,4496,5122
99,4390,3939
100,2522,2427
101,1674,1749
102,2460,1874
103,3428,2995
104,3275,3893
105,3210,3966
106,3740,3199
107,3663,3976
108,1781,1626
109,1631,1318
110,1790,1548
111,2614,2256
112,2494,2285
113,1472,2883
114,2901,3372
115,1699,1746
116,1507,1390
117,2726,2641
118,2878,2292
119,3123,2438
120,2059,1940
121,1769,1905
122,2207,2194
123,2113,2086
124,1740,3289
