electrode,onset,spread
0,0,0
11,0,0
12,0,0
13,12,33
14,46,29
15,223,147
16,246,225
19,0,0
20,106,112
21,298,602
22,984,1295
23,486,544
24,197,136
25,0,0
26,376,395
27,367,381
28,385,295
29,988,1032
30,1025,791
31,29,29
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,307,314
39,716,923
40,1633,1545
41,282,425
42,501,776
43,310,216
44,289,192
45,1314,1504
46,1004,1076
47,1311,1269
48,1457,1453
49,406,488
50,1444,1415
51,3017,2840
52,2392,2116
53,2966,2360
54,2266,1895
56,1433,1511
57,717,709
58,1842,1720
59,1845,2446
60,2826,2958
61,2891,2745
62,2819,3414
63,3161,3108
64,3153,3494
65,384,405
66,1436,1102
67,2505,1895
70,2810,3709
71,3760,3236
72,4336,3724
73,261,221
74,849,647
75,1932,1497
76,1436,1160
77,3073,3695
78,4278,3548
79,4343,3235
80,2359,3894
81,1113,826
82,1068,955
83,2466,2530
84,3072,2654
85,3011,2392
86,1814,1915
87,2189,2279
88,1818,2590
89,1835,1824
90,1037,1164
91,1935,2063
92,1438,1529
93,789,899
94,871,689
95,1232,1384
96,756,832
97,1708,2591
98,412,412
99,364,336
100,153,163
101,409,287
102,648,614
103,320,343
104,502,595
