electrode,onset,spread
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
43,1931,1736
44,3943,3223
45,3267,3193
46,1917,2247
47,1220,1455
48,702,571
49,663,684
50,949,988
51,3095,3327
52,3616,4197
53,1993,1577
54,1861,1495
55,99,74
56,295,268
57,216,262
58,1636,1433
59,2349,1668
60,3078,2559
61,4506,4395
62,4460,4736
63,3991,3497
64,2643,3021
65,4044,3849
66,3722,3383
67,2913,2789
68,2981,2765
69,3548,3604
70,551,884
71,445,554
72,302,454
73,3779,3308
74,4926,4236
75,3919,3574
76,4113,4627
77,1870,2142
78,598,766
79,543,852
80,1004,944
81,2059,1633
82,4422,4919
83,3415,4188
84,3758,3743
85,2663,2931
86,743,1228
87,1334,1377
88,1519,1432
89,3907,3073
90,4572,4291
91,4150,4066
92,2689,3083
93,1570,1625
94,1026,1011
95,1712,1297
96,3958,4253
97,3832,3228
98,4539,5490
99,4332,4310
100,2531,2722
101,1483,1584
102,1316,1092
103,2568,2322
104,4209,4496
105,3904,4423
106,3238,2795
107,3857,4037
108,1776,1691
109,1643,1313
110,2039,1711
111,2461,2212
112,2578,2121
113,1954,3370
114,2770,3676
115,1959,2029
116,1592,1469
117,3179,2732
118,3177,2323
119,2844,2375
120,2105,2156
121,2152,2479
122,2578,2756
123,2441,2234
124,1690,3299
