electrode,onset,spread
0,0,0
11,0,0
12,0,0
13,0,0
14,135,98
15,112,96
16,63,46
19,0,0
20,39,44
21,254,484
22,514,854
23,447,443
24,426,312
25,0,0
26,453,453
27,99,165
28,179,274
29,763,776
30,372,428
31,97,73
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,146,185
39,415,412
40,1155,990
41,215,380
42,649,771
43,497,273
44,507,270
45,817,942
46,628,751
47,1261,979
48,1142,897
49,494,711
50,1469,1196
51,1433,1233
52,1017,1003
53,1515,1237
54,1531,1342
56,1013,1364
57,910,674
58,1338,1164
59,1093,1177
60,1559,1563
61,1364,1807
62,2042,2077
63,1601,1853
64,2326,2389
65,223,196
66,573,484
67,918,773
70,1972,2172
71,2257,1873
72,2704,2261
73,43,79
74,235,196
75,930,745
76,826,670
77,1498,1919
78,2042,1956
79,1756,1623
80,1208,1767
81,562,477
82,241,183
83,900,994
84,1900,1582
85,1690,1432
86,739,818
87,837,758
88,977,1159
89,640,790
90,559,505
91,609,485
92,495,565
93,598,669
94,666,661
95,865,846
96,839,1091
97,905,1236
98,176,461
99,150,100
100,115,106
101,133,108
102,511,457
103,10,32
104,254,231
