electrode,onset,spread
0,0,0
17,0,26
18,185,373
19,316,463
20,1035,1086
21,903,957
22,278,711
23,64,710
24,76,242
26,1512,668
27,1843,979
28,1286,1057
29,731,1104
30,718,787
31,339,740
32,379,507
33,656,460
34,1183,414
35,1669,772
36,800,1146
37,191,1096
38,308,849
39,66,513
40,260,487
41,185,360
42,70,111
43,985,302
44,1062,483
45,449,376
46,0,148
47,78,303
48,309,476
49,425,502
50,644,501
51,512,743
52,283,801
53,160,423
54,41,296
55,51,197
56,48,252
73,926,272
74,1127,285
75,1048,237
76,976,254
77,0,0
78,0,0
79,1,14
80,36,23
81,21,17
82,0,0
83,5,10
84,95,200
85,14,71
86,21,91
87,0,0
88,0,3
89,94,91
90,32,39
91,50,57
92,0,0
93,0,0
94,0,0
95,0,17
96,37,23
97,0,12
98,0,0
99,1,4
100,0,0
101,0,0
102,139,449
103,578,375
104,138,217
105,0,0
106,0,0
107,476,510
108,686,631
109,67,242
110,9,41
111,0,0
112,239,310
