electrode,onset,spread
0,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,2,13
16,17,21
19,0,0
20,23,36
21,46,68
22,262,358
23,237,222
24,68,78
25,0,0
26,135,139
27,105,81
28,12,36
29,594,468
30,491,551
31,58,72
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,56,72
39,121,114
40,249,232
41,28,18
42,27,34
43,27,12
44,27,12
45,240,206
46,246,187
47,375,340
48,358,306
49,8,2
50,175,168
51,776,638
52,516,481
53,812,650
54,669,573
56,379,431
57,59,61
58,229,167
59,496,441
60,1138,1035
61,708,969
62,912,1134
63,871,920
64,1073,1054
65,0,0
66,0,0
67,148,91
70,689,1092
71,1279,1019
72,1226,1050
73,0,0
74,0,0
75,92,82
76,483,331
77,859,1126
78,931,1070
79,1069,925
80,595,804
81,20,42
82,4,16
83,246,271
84,834,611
85,787,632
86,286,318
87,569,524
88,407,516
89,105,152
90,52,70
91,271,236
92,193,177
93,248,204
94,207,205
95,582,547
96,474,586
97,130,186
98,62,89
99,12,13
100,21,17
101,141,165
102,154,229
103,85,70
104,38,58
