electrode,onset,spread
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
43,1638,1613
44,3935,3345
45,2726,2902
46,1970,2125
47,1483,1534
48,484,546
49,518,735
50,857,949
51,2799,2894
52,2323,3704
53,1566,1365
54,1233,924
55,3,2
56,197,142
57,34,19
58,1222,1230
59,2242,1721
60,3089,2678
61,3830,3844
62,3816,3982
63,3400,2780
64,2681,3147
65,3160,2816
66,2914,2346
67,2243,2148
68,2865,2396
69,2574,2917
70,624,973
71,413,617
72,101,272
73,3212,2693
74,3805,3171
75,2913,2930
76,3256,3916
77,1561,1964
78,635,802
79,482,500
80,978,1026
81,1703,1263
82,3301,4009
83,2649,3697
84,3057,3146
85,2468,2462
86,1438,1543
87,1447,1380
88,1956,1726
89,3227,2598
90,4057,3837
91,4012,3780
92,2622,2891
93,1340,1307
94,1618,1378
95,1766,1313
96,3497,3749
97,3798,3194
98,4171,4972
99,4109,3932
100,2457,2394
101,1528,1600
102,1955,1541
103,2974,2652
104,3639,4102
105,3515,3795
106,2937,2790
107,3616,3819
108,1818,1605
109,1555,1398
110,2207,1665
111,2515,2260
112,2309,1711
113,1729,2937
114,2376,3024
115,1563,1709
116,1687,1620
117,2914,2638
118,2382,2034
119,2446,1965
120,2799,2366
121,2027,2066
122,2390,2541
123,2084,1889
124,1845,3319
