electrode,onset,spread
0,0,0
17,0,24
18,34,46
19,68,74
20,205,176
21,118,128
22,35,148
23,11,101
24,12,39
26,253,68
27,342,127
28,180,120
29,68,163
30,186,139
31,90,175
32,70,81
33,47,58
34,172,41
35,147,69
36,88,184
37,54,156
38,52,118
39,5,82
40,20,50
41,58,57
42,0,27
43,204,46
44,142,62
45,39,40
46,0,21
47,0,11
48,0,17
49,82,72
50,93,74
51,83,117
52,33,115
53,28,82
54,0,45
55,18,23
56,0,3
73,140,41
74,163,42
75,110,35
76,48,34
77,0,8
78,0,10
79,0,8
80,0,10
81,0,16
82,0,9
83,0,10
84,1,4
85,0,10
86,0,12
87,0,9
88,0,10
89,0,8
90,0,8
91,0,10
92,0,9
93,0,7
94,0,7
95,0,2
96,0,2
97,0,43
98,0,11
99,67,6
100,61,9
101,28,8
102,32,89
103,153,97
104,22,35
105,0,9
106,19,9
107,117,168
108,122,101
109,55,40
110,0,10
111,0,8
112,89,121
