electrode,onset,spread
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11,131,240
12,52,66
13,368,401
14,482,564
15,356,399
16,269,415
17,69,59
18,543,606
19,320,436
20,384,366
21,2,3
22,23,99
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,2,28
31,25,17
32,0,0
33,9,3
34,0,0
35,0,0
36,0,0
37,36,22
38,0,0
39,118,147
40,81,102
41,54,43
42,7,3
43,0,0
44,0,0
45,78,73
46,0,0
47,0,0
48,17,17
49,0,0
50,0,0
51,7,5
52,0,0
53,0,2
54,0,0
55,456,737
56,285,307
57,1478,1458
58,1683,1435
59,1935,2025
60,1020,1236
61,772,856
62,1375,1542
63,1716,1413
64,1392,1383
65,0,5
66,1,3
67,68,63
68,62,58
69,459,581
70,2474,2000
71,1679,1750
72,1643,1652
73,0,31
74,195,245
75,272,192
76,316,302
77,1622,1638
78,2145,1842
79,1820,1653
80,1447,1291
81,1375,1338
82,159,214
83,485,386
84,287,287
85,1498,1574
86,563,411
87,1579,1453
88,1478,1605
89,857,960
90,160,226
91,315,233
92,311,344
93,183,267
94,300,295
95,1051,863
96,598,570
97,0,0
98,0,0
99,0,4
100,5,55
101,104,58
102,577,524
103,68,132
104,319,388
105,0,2
106,2,2
107,0,0
108,13,7
109,112,78
110,1226,1201
111,1121,1151
112,416,344
113,41,44
114,1,3
115,0,0
116,58,65
117,83,105
118,1541,1436
119,1172,1292
120,338,462
121,79,42
122,0,0
123,2,1
124,55,44
