electrode,onset,spread
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
25,2706,3232
26,218,158
27,2344,3016
28,3530,3297
29,3173,3250
30,1530,1748
31,392,467
32,850,677
33,1251,1209
34,1453,1659
35,1381,1815
37,4237,4161
38,3236,3034
39,2887,2951
40,2950,2392
41,1273,1358
42,2369,2173
43,2844,2714
44,3384,2810
45,3026,2953
46,2998,3405
47,3063,3272
48,0,0
49,506,497
50,954,1095
51,1307,1458
52,1786,2124
53,3190,3177
54,3315,3049
55,3234,2907
56,3015,2871
57,414,474
58,472,572
59,967,1230
60,226,217
61,293,335
62,730,835
63,971,1213
64,2005,2870
65,497,525
66,1459,1826
67,1348,1765
68,869,836
69,766,1105
70,1460,1547
71,1728,2107
72,2155,2260
73,2104,1535
74,1925,1714
75,1630,1499
76,704,542
77,889,1284
78,1903,2133
79,2098,2502
80,1332,1686
81,1792,1572
82,1363,1363
83,789,737
84,810,837
85,1338,1236
86,2419,2633
87,3092,2671
88,2440,2846
89,964,719
90,1500,1145
91,918,835
92,1692,1699
93,2154,2485
94,3234,2527
95,3189,3227
96,3788,3373
97,1280,1201
98,1274,1439
99,1057,1048
100,1847,1672
101,2309,2478
102,3164,2419
103,3080,2518
104,3094,2814
105,1173,1653
106,2030,1945
107,642,497
108,1946,1868
109,3010,2927
110,2691,2057
111,3836,3062
112,3526,2974
113,1900,1686
114,942,836
115,2274,1971
116,3076,3722
117,3362,3973
118,3070,2946
119,1999,1787
120,3492,3964
