electrode,onset,spread
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
25,1188,1478
26,186,165
27,2318,2378
28,1945,2003
29,1953,2275
30,807,1048
31,142,194
32,235,233
33,380,439
34,641,1010
35,1125,1308
37,1728,1736
38,1328,1293
39,1300,1217
40,1467,1617
41,707,1016
42,1784,1934
43,2080,2363
44,2449,2329
45,2455,2754
46,2403,2981
47,2070,2188
48,2298,2370
49,418,384
50,992,1023
51,1295,1205
52,1743,1755
53,2983,2826
54,2762,2591
55,2504,2512
56,2127,1939
57,0,0
58,487,423
59,664,655
60,1016,1067
61,302,338
62,384,260
63,527,568
64,1435,1323
65,1753,2243
66,194,178
67,1581,1654
68,1191,1169
69,945,906
70,1078,970
71,1592,1419
72,1811,2257
73,2310,2550
74,2068,1739
75,2165,1770
76,1543,1373
77,844,642
78,957,1136
79,1554,2252
80,1839,2233
81,1537,1673
82,1794,1697
83,1240,1191
84,985,847
85,2230,2051
86,2027,1739
87,1900,2299
88,1320,1254
89,1578,2167
90,736,553
91,1436,1354
92,1486,1324
93,2183,2188
94,1725,1679
95,1863,1477
96,1511,1446
97,1856,1791
98,774,751
99,1483,1529
100,1175,1006
101,1473,1598
102,2099,1943
103,1415,1305
104,1373,1211
105,1555,1589
106,970,1026
107,2456,1951
108,1334,1045
109,2151,1826
110,1797,1829
111,1563,1168
112,1807,1822
113,1505,1468
114,1187,1183
115,680,630
116,1032,935
117,2299,2124
118,2686,2579
119,1926,1498
120,1680,1445
