electrode,onset,spread
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
25,3076,3616
26,126,77
27,3029,3683
28,3168,3575
29,3329,3908
30,1323,1511
31,300,230
32,1028,790
33,1413,1354
34,1716,2036
35,1207,1604
37,3859,3932
38,3850,3071
39,3313,3425
40,2822,2435
41,1509,1701
42,2975,3169
43,3247,3242
44,4208,3483
45,4068,3647
46,4225,3996
47,3230,3590
48,0,0
49,586,730
50,1284,1513
51,2038,1968
52,2197,2713
53,3572,3486
54,4345,3668
55,4345,3471
56,3375,3413
57,690,567
58,1151,1069
59,1745,1902
60,273,394
61,428,543
62,673,761
63,1475,1187
64,2463,3104
65,167,341
66,2146,2670
67,1748,2294
68,1031,1194
69,867,1345
70,1602,1396
71,1600,2189
72,2448,2748
73,2691,1921
74,2787,2291
75,2443,2108
76,325,415
77,669,939
78,1764,2418
79,2080,2600
80,1744,2314
81,2449,2057
82,2079,1889
83,1138,1006
84,749,911
85,1182,1028
86,1919,2152
87,2924,2443
88,2591,3200
89,1775,1320
90,2468,1816
91,1321,1102
92,1217,1351
93,2641,2532
94,2965,2604
95,3323,3394
96,3658,3403
97,2356,2128
98,2018,1747
99,721,1008
100,1212,1304
101,2038,2229
102,2736,1997
103,3293,2454
104,3179,3062
105,1784,2178
106,2936,2534
107,623,487
108,2116,2060
109,2629,2998
110,2691,2081
111,3902,3168
112,3654,2997
113,2706,2405
114,984,897
115,2219,2117
116,3373,4376
117,3342,4288
118,3282,3074
119,1878,1721
120,3676,4255
